comment_id;comment_text;Sub1_Toxic;Sub2_Engaging;Sub3_FactClaiming;fold
3223;"Das ""weiblich"" ist für mich kein Garant für Leistung..wirklich nicht.";0;0;0;3
2981;Gehören Sie auch zu Uniter?;0;0;0;3
1689;Nein , ich frage einfach, das ist legitim . Ich habe eine Spenderausweis, noch Fragen..??;0;0;1;3
1836;https://gesundheitsberater.de/organspende-nie-wieder-organtransplantation-aus-der-sicht-einer-betroffenen/;0;1;1;3
2735;@USER Wetten, dass Sie vor der Glotze sitzen um nur ja nicht's zu verpassen 😉😂;0;0;0;3
2940;@USER Und woher wollen Sie wissen dass das die AfD macht oder getan hat? Dazu ist die Polizei zuständige die das sehr schnell herausfinden können - das können auch Leute tun die einer Partei schaden wollen - siehe Wahlkampf - ich glaube nur was ich sehe und was bewiesen ist. Sind sie vorsichtig mit Ihren Behauptungen - das würde ich mir nicht erlauben.;0;0;0;3
850;Gegen Dummheit hilft, Bildung, mehr, effizienter!;1;0;0;3
1906;@USER Keiner Zwingt Sie zur Spende. Die einzige Rechtsbeugung hier wäre dann nur, dass Sie selber aktiv entscheiden müssen. Peinlich, dass gerade das scheinbar so vielen schwer fällt.;0;0;1;3
944;Dürfen in dem Land ihr eigentlich nur noch Politiker Geld verdienen und alle anderen müssen am Existenzminimum knabbern oder was läuft hier für ein Film?;0;0;0;3
240;@USER, die Zweifelhaftigkeit der BILD als Quelle ist dir neu? Ich wusste das schon in der 80ern und andere noch sehr viel früher.Daher sind die Zweifel ander Berichterstattung nicht etwa neu, sondern halten sich seit Jahrzehnten. Nehmen wir die reißerische Begründung heraus, die übrigens schon beim ersten Urteil weit weniger beunruhigend von Seiten des Gerichts klang als durch die BILD widergegeben, so kommen wir nun hierhin: https://www.freiepresse.de/zwickau/zwickau/aufreger-urteil-neu-verhandelt-artikel10335369;0;1;1;3
430;"@USER Interessante Wortkombination ""hergebeten werden"" und ""bleiben dürfen"". Entlarvt aber auch den Kommentator, jedenfalls, wenn man die Feinheiten der wundervollen deutschen Sprache beherrscht.";0;0;0;3
1424;@USER werden sie selber erst mal erwachsen und informieren sich über den Klimawandel unserer Erde ! Zudem sollten sie sich auch über die anderen Länder informieren.....dazu gibt es genügend Bildungsmaterial.;0;0;0;3
1301;Hat sie das auch dtudiert oder hat sie ihre Berater😁;1;0;0;3
701;WOHNUNGEN wurden von dieser Regierung verkauft und jetzt heulen und wieder zurück- kaufen. Habt die letzten 25 Jahre alles heruntergefahren. Wer hat euch nur immer beraten? Ich glaube nichts mehr.;0;0;1;3
3176;@MEDIUM blau hat auch Argumente. Aber die wollt ihr nicht hören;0;0;0;3
1134;"Allerdings! Weil solche männlichen Exemplare wahre Pflegefälle sind und nur belastend aber meinen über der Frau zu stehen und deren ""niederen"" Arbeiten sich zu fein sind diese auch zu erledigen! Ekelhaft! 😡";1;0;0;3
2182;@USER über alle FDP'ler kann man nur den Kopf schütteln! 🤷‍♂️;0;0;0;3
3232;die Dünnbrettbohrer reden tatsächlich von der EU und Europa als wärs der gleiche Schuh!!;1;0;0;3
927;"Die SPD - Gesetze, die sich mit marktwirtschaftlichen Grundsätzen beschäftigen, haben ja alle super funktioniert. (Markt)Wirtschaft ist sozusagen die Kernkompetenz der Sozen. ;-)";0;0;1;3
2683;t-online (warum die NSU-Akten geschlossen bleiben ) ist meine Quelle. Erstaunlich das Ihr das nicht wisst?!;0;1;1;3
647;@USER Ich bin schon längst in der Partei DIE LINKE aktiv und versuche auch hier in meinem Landkreis eine Aufstehen-Gruppe ins Leben zu rufen. Doch hier in diesem schwarzen Landkreis ist dass eine verdammt schwere Aufgabe. Ich hoffe dass wir durch unser neues Parteibüro jetzt einen Fuß in der Tür haben und dieses als Ausgangsbasis nutzen zu können.;0;0;0;3
1664;Quelle?;0;0;0;3
1576;Was für ein emotional dummes Geschwätz.....;0;0;0;3
2768;Linke haben einen Freibrief oder was.;0;0;0;3
3050;Die Polizei erlebt täglich was ab geht! Die wissen ganz genau warum sie AFD wählen!;0;0;0;3
1209;@USER! Stimmt leider.;0;0;0;3
2460;@MEDIUM OK. Wir können ja noch 20 Jahre über Pflegenotstand reden. Dieser Zustand hat mich fast 40Jahre als ehemalige Krankenschwester begleitet. 👍🍀;0;1;0;3
876;also woher sind dann diese 30% die vorher eingespielt wurden vom Traumland.;0;0;0;3
1819;@USER dann nicht, gehe ich geschlossen ins Loch .warum ist es ihnen denn wichtig ,dass gespendet wird.;0;0;0;3
848;Frau BEER ist die Fürsprecherin der Makler..hahaha..FDP kackt abt..;1;0;0;3
628;@MEDIUM könnt ihr mir mitteilen wie oft in den letzten zwei Jahren jemand von den Grünen und von der AfD zu Gast war?;0;0;0;3
238;@USER, es ist seit Jahrzehnten bekannt, dass Ausländer sehr viel schnelle inhaftiert werden, weil sie einen höheren Fluchtanreiz haben. Das ist nicht neu - außer dir vielleicht.;1;1;1;3
682;#FAKTEN , die @MEDIUM nur zu gerne #VERSCHWEIGEN ! ⚠ ⛔ #Millionen 🇩🇪 suchen dringend eine (bezahlbare) Wohnung ! ⚠ Wofür sind die ALT - Parteien : für 👳 Familiennachzug ! 👳 FINDE den FEHLER ! ⚠ ⚠;1;0;1;3
