comment_id;comment_text;Sub1_Toxic;Sub2_Engaging;Sub3_FactClaiming;fold
2134;@USER Armut verhindert Konsum.;0;0;0;2
3108;Im Gegensatz zu Herrn Lübke lebt er!;0;0;1;2
3124;@USER Sie sind Opfer. Opfer der Massenpsychose;1;0;0;2
841;"Mag sein, geht aber nur bei ausreichenden Einkommen, wenn man nicht das Risiko eingehen möchte, den eigenen Hauskredit nach der 10 Jahre Zinsbindung nicht mehr bedienen zu können ;) Zudem fordert gerade die FDP die maximal Flexibilität des Arbeitnehmers, was einem Immobilienbesitz zur Eigennutzung widerstrebt";0;1;1;2
2406;Macht die das unbewusst oder ist das ne Masche, dass die ständig so nen traurigen Gesichtausdruck hat, bzw. die Augenbrauen so mitleidig seitlich runter zieht? :/;0;0;0;2
1123;Ausserdem wird nochmals die Rente besteuert, für die man ja schon im Arbeitsleben Steuern gezahlt hat..ja ich weiß, am Thema vorbei, aber trotzdem relevant..der Arbeitslohn der Frauen ist immer noch zu niedrig,bei der selben Leistung die sie vollbringen..warum wird das nicht mal geändert ?? Die Hausarbeit / Kindererziehung wird fast nicht entlohnt, mit der Mütterrente kann man das alleine nicht auffangen- halber bis 1 Rentenpunkt wird angerechnet, DAS ist ein Witz...!!!;1;1;1;2
2279;war ja klar daher weg bleibt;0;0;0;2
1707;@USER selbst mal reflektieren, teilweise wird da so emotional diskutiert.Das hat schon was von,, Die Menschheit hat ein Anrecht auf deine Organe,, -sowas geht gar nicht.;0;0;1;2
1066;Die Dame besitzt ein Haus! Für das Geld hätte sie auch eine kleine Wohnung in Düsseldorf mieten können! Man kann nicht alles haben im Leben. Und beim Hausbau war es ihre Entscheidung...also bitte mit den Konsequenzen leben oder versetzen lassen!😊;0;0;1;2
1625;@MEDIUM Und genau das meine ich egal zu welchen Thema mehr Pro als Contra. Nicht ein Kommentar was die Zuschauer von einigen Gästen halten und was für ein Mist da einige von sich geben. Nehmen Sie den letzten Gast:Diess der Mann ist eine Zumutung für die Arbeitnehmer der bekommt sich wie ein Sonnenkönig.Und so einer bekommt mich ein Forum wo er seinen Blödsinn los werden kann.Gegen ihn wird auch noch ermittelt aber das geht den Herrn am.....vorbei. Schade.Leider hat ihre Sendung in letzter Zeit an Sprengstoff verloren.;0;1;1;2
976;Ich bin kein Anhänger der Linken, nur die Frau hat nicht vom normalen Vermieter gesprochen, sondern von den Grossinvestoren.;0;0;1;2
881;der deutsche legt die Füße auf das Sofa in der Wohnung die Nachbarn in Europa müssen ihr Haus erhalten ..;0;0;0;2
627;@USER merkwürdiges Deutsch;0;0;0;2
2963;Haha Eu Spitzenposten;0;0;0;2
422;#SCHÄMT euch @ ARD - Verantwortliche ! ⚠ #SCHÄMT euch ! ⚠⚠⚠⚠⚠⚠⚠⚠⚠;1;0;0;2
